TRADEDATE,Open,High,Low,Close,Volume
2024-07-18,284.68,289.99,282.73,289.83,34090360
2024-07-19,290.67,292.58,289.2,289.9,31022060
2024-07-22,291.0,294.95,291.0,294.71,33386610
2024-07-23,295.47,295.48,293.36,294.39,22190840
2024-07-24,294.39,296.67,293.2,295.69,24565710
2024-07-25,295.69,297.3,294.2,296.37,22868740
2024-07-26,296.4,300.0,292.67,293.3,84909830
2024-07-29,293.0,293.0,286.0,286.58,52445850
2024-07-30,286.5,291.99,284.32,290.0,42572480
2024-07-31,290.47,291.2,288.01,289.3,25974520
2024-08-01,289.87,290.69,287.04,287.21,18646450
2024-08-02,287.21,287.99,284.37,286.04,30086580
2024-08-05,282.79,283.46,275.17,275.49,82141460
2024-08-06,277.01,281.16,276.35,279.4,43600150
2024-08-07,280.0,283.27,277.21,282.2,48494490
2024-08-08,283.4,285.42,280.0,281.09,42425830
2024-08-09,281.0,282.67,279.62,281.44,22302730
2024-08-12,280.01,281.5,278.03,280.74,27767330
2024-08-13,281.05,284.33,280.42,283.92,24058790
2024-08-14,284.3,284.7,280.12,280.32,21757040
2024-08-15,280.5,280.85,276.73,278.01,28665290
